participant_id	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
A00035941	NKI	BAS1	-72	1			1		1	Pass
A00035943	NKI	BAS1	-28		1	1		1	1	Pass
A00035945	NKI	BAS1	-94	1	0.75				0.875	Artifact
A00035945	NKI	FLU1	-189	0.75			1		0.875	Artifact
A00035945	NKI	TRT	-105	1	1				1	Pass
A00035951	NKI	BAS1	-45	1	1	1	1	1	1	Pass
A00035960	NKI	BAS1	-52	1			1		1	Pass
A00037081	NKI	BAS1	-33		1	1		1	1	Pass
A00037110	NKI	BAS1	-51	1	1	1	1	1	1	Pass
A00037111	NKI	BAS1	-76	0.75	1	1	1	1	0.95	Artifact
A00037112	NKI	BAS1	-34			1	1	1	1	Pass
A00037112	NKI	BAS2	-43	1	1	1	1	1	1	Pass
A00037115	NKI	BAS1	-43		1	1		1	1	Pass
A00037117	NKI	BAS1	-56			1	1	1	1	Pass
A00037118	NKI	BAS1	-46	1	1	1	1	1	1	Pass
A00037120	NKI	BAS1	-33			1	1	1	1	Pass
A00037122	NKI	BAS1	-68	1			1		1	Pass
A00037123	NKI	BAS1	-45			1	1	1	1	Pass
A00037125	NKI	BAS1	-172	1			1		1	Pass
A00037126	NKI	BAS1	-91	1			1		1	Pass
A00037126	NKI	BAS2	-76			1	1	1	1	Pass
A00037126	NKI	TRT	-163	1	0.5	1	0.5	0.25	0.65	Artifact
A00037160	NKI	BAS1	-92			1	1	1	1	Pass
A00037170	NKI	BAS1	-54	1			1		1	Pass
A00037198	NKI	BAS1	-40	1			1		1	Pass
A00037229	NKI	BAS2	-49	1			1		1	Pass
A00037229	NKI	FLU1	-359	0.25	0				0.125	Artifact
A00037244	NKI	BAS1	-94	1			1		1	Pass
A00037266	NKI	BAS1	-95			1	1	1	1	Pass
A00037267	NKI	BAS1	-29		1	1		1	1	Pass
A00037267	NKI	BAS2	-39			1	1	1	1	Pass
A00037267	NKI	FLU1	-41		1	1		1	1	Pass
A00037267	NKI	FLU2	-35			1	1	1	1	Pass
A00037368	NKI	BAS1	-70	1	1				1	Pass
A00037377	NKI	BAS1	-56	1			1		1	Pass
A00037378	NKI	BAS1	-57	1	1	1	1	1	1	Pass
A00037386	NKI	BAS1	-67	1	1	1	1	1	1	Pass
A00037387	NKI	BAS1	-58	1	1	1	1	1	1	Pass
A00037396	NKI	BAS1	-35		1	1		1	1	Pass
A00037421	NKI	BAS1	-37			1	1	1	1	Pass
A00037439	NKI	BAS1	-82	1	1				1	Pass
A00037445	NKI	BAS1	-36		1	1		1	1	Pass
A00037457	NKI	BAS1	-63	1			1		1	Pass
A00037457	NKI	BAS2	-51			1	1	1	1	Pass
A00037457	NKI	FLU1	-53	1	1	1	1	0.75	0.95	Artifact
A00037458	NKI	BAS1	-67			1	1	1	1	Pass
A00037459	NKI	BAS1	-72			1	1	1	1	Pass
A00037476	NKI	BAS1	-48	1	1				1	Pass
A00037483	NKI	BAS1	-228	1			0.75		0.875	Artifact
A00037492	NKI	BAS1	-48			1	1	1	1	Pass
A00037510	NKI	BAS1	-49		1	1		1	1	Pass
A00037511	NKI	BAS1	-60		1	1		1	1	Pass
A00037511	NKI	BAS2	-57	1	0.75				0.875	Artifact
A00037522	NKI	BAS1	-67		1	1		1	1	Pass
A00037522	NKI	BAS2	-109	1	1				1	Pass
A00037522	NKI	FLU1	-92		1	1		1	1	Pass
A00037531	NKI	BAS1	-44			1	1	0.75	0.916666667	Artifact
A00037545	NKI	BAS1	-28			1	1	1	1	Pass
A00037582	NKI	BAS1	-75	1	1				1	Pass
A00037588	NKI	BAS1	-45		1	1		1	1	Pass
A00037589	NKI	BAS1	-58	1	1	1			1	Pass
A00037635	NKI	BAS1	-63	1	1	1	1	1	1	Pass
A00037646	NKI	BAS1	-32	1	1				1	Pass
A00037647	NKI	BAS1	-55	1	1				1	Pass
A00037725	NKI	BAS1	-66	1	1				1	Pass
A00037726	NKI	BAS1	-32	1	1	1	0.75	1	0.95	Artifact
A00037767	NKI	BAS1	-31	1	1	1	1	1	1	Pass
